"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"198",198,"Petrale Sole",0.435,0.2037,28.7338754974271,0.64,"CSTbjuv.a CSTegg1 ",0.56662163,0.42637825,NA
"199",199,"Petrale Sole",0.445,0.0837,32.2416267537139,0.68,"CSTbjuv.b CSTegg1 ",0.46718358,0.42374213,NA
"200",200,"Petrale Sole",0.535,0.0931,32.4477258243176,0.68,"CSTegg2 CSTlarv ",0.41937974,0.39949727,NA
"201",201,"Petrale Sole",0.517,0.1457,30.4906206421476,0.72,"CSTegg2 CSTpjuv ",0.37396257,0.34929879,NA
"202",202,"Petrale Sole",0.53,0.2328,28.8976102478943,0.64,"CSTbjuv.a CSTegg2 ",0.5591298,0.44288574,NA
"203",203,"Petrale Sole",0.549,0.1343,31.9997390820266,0.72,"CSTbjuv.b CSTegg2 ",0.56662163,0.42637825,NA
"204",204,"Petrale Sole",0.428,0.1731,29.6766796247389,0.72,"CSTbjuv.a CSTlarv ",0.46718358,0.42374213,NA
"205",205,"Petrale Sole",0.429,0.1755,29.6018313944177,0.68,"CSTbjuv.b CSTlarv ",0.41937974,0.39949727,NA
"206",206,"Petrale Sole",0.421,0.217,28.3112889313615,0.8,"CSTbjuv.a CSTpjuv ",0.37396257,0.34929879,NA
"207",207,"Petrale Sole",0.421,0.2365,27.6816769501378,0.76,"CSTbjuv.b CSTpjuv ",0.5591298,0.44288574,NA
