"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"524",524,"Sablefish",1.642,0.1072,92.8473188078666,0.458333333333333,"DDlarv LSTegg LSTpjuv",NA,NA,4.88
"525",525,"Sablefish",1.618,0.3083,88.5347285648836,0.541666666666667,"DDlarv LSTbjuv LSTegg",NA,NA,4.832
"526",526,"Sablefish",1.614,0.2067,91.3365009609711,0.375,"CSTegg DDlarv LSTegg",NA,NA,4.715
"527",527,"Sablefish",1.683,0.1826,92.9078775143785,0.291666666666667,"CSTyolk DDlarv LSTegg",NA,NA,4.7
"528",528,"Sablefish",1.717,0.0782,93.9296713991324,0.291666666666667,"CSTlarv DDlarv LSTegg",NA,NA,4.646
"529",529,"Sablefish",1.69,0.1584,92.1195499890995,0.416666666666667,"CSTpjuv DDlarv LSTegg",NA,NA,4.837
"530",530,"Sablefish",1.68,0.1013,93.0075041146986,0.458333333333333,"CSTbjuv DDlarv LSTegg",NA,NA,4.785
"531",531,"Sablefish",1.763,0.1037,92.9426755633456,0.333333333333333,"DDlarv LSTpjuv LSTyolk",NA,NA,5.122
"532",532,"Sablefish",1.601,0.3697,87.410882212748,0.541666666666667,"DDlarv LSTbjuv LSTyolk",NA,NA,4.798
"533",533,"Sablefish",1.601,0.2161,91.0297255581812,0.416666666666667,"CSTegg DDlarv LSTyolk",NA,NA,4.689
"534",534,"Sablefish",1.707,0.1731,92.9408132467661,0.291666666666667,"CSTyolk DDlarv LSTyolk",NA,NA,4.748
"535",535,"Sablefish",1.771,0.0624,94.0238045814659,0.25,"CSTlarv DDlarv LSTyolk",NA,NA,4.754
"536",536,"Sablefish",1.79,0.2081,91.3804192576152,0.458333333333333,"CSTpjuv DDlarv LSTyolk",NA,NA,5.037
"537",537,"Sablefish",1.696,0.0922,93.2477018869218,0.5,"CSTbjuv DDlarv LSTyolk",NA,NA,4.817
"538",538,"Sablefish",1.706,0.1216,92.8086274915458,0.375,"DDlarv LSTlarv LSTpjuv",NA,NA,5.008
"539",539,"Sablefish",1.632,0.3092,88.428519951599,0.458333333333333,"DDlarv LSTbjuv LSTlarv",NA,NA,4.86
"540",540,"Sablefish",1.539,0.2618,89.6635547969017,0.416666666666667,"CSTegg DDlarv LSTlarv",NA,NA,4.565
"541",541,"Sablefish",1.616,0.1739,92.4706893560333,0.5,"CSTyolk DDlarv LSTlarv",NA,NA,4.566
"542",542,"Sablefish",1.693,0.0652,93.9525515090201,0.291666666666667,"CSTlarv DDlarv LSTlarv",NA,NA,4.598
"543",543,"Sablefish",1.709,0.1813,91.6144462574222,0.375,"CSTpjuv DDlarv LSTlarv",NA,NA,4.875
"544",544,"Sablefish",1.696,0.1049,92.9089521493981,0.375,"CSTbjuv DDlarv LSTlarv",NA,NA,4.817
"545",545,"Sablefish",1.638,0.2503,89.4504318354054,0.458333333333333,"CSTegg DDlarv LSTpjuv",NA,NA,4.763
