"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"169",169,"Yellowtail",0.448,0.0113,32.2460785735085,0.32,"CSTpjuv CutiTUMIpjuv ",0.3427491,0.348285,2.465
"170",170,"Yellowtail",0.501,0.0397,31.925563096115,0.36,"BeutiTUMIpjuv CSTpjuv ",0.38439525,0.41864256,2.035
"171",171,"Yellowtail",0.456,0.0347,31.6486150870662,0.44,"BeutiSTIpjuv CSTpjuv ",0.32689956,0.35282624,2.123
"172",172,"Yellowtail",0.439,0.144,29.8932626016921,0.52,"LSTlarv LSTpjuv ",0.4425048,0.39573152,1.953
"173",173,"Yellowtail",0.469,0.2241,28.3259704571702,0.48,"LSTlarv oni_pre ",0.32613274,0.34545079,2.013
"174",174,"Yellowtail",0.445,0.2846,26.1557389993864,0.44,"LSTlarv oni_larv ",0.4425048,0.39573152,1.965
"175",175,"Yellowtail",0.444,0.2147,27.607220382776,0.44,"LSTlarv oni_pjuv ",0.4425048,0.39573152,1.963
"176",176,"Yellowtail",0.445,0.1347,30.243311427912,0.56,"LSTlarv pdo_larv ",0.4425048,0.39573152,1.965
"177",177,"Yellowtail",0.437,0.1641,29.2902693032381,0.52,"LSTlarv pdo_pjuv ",0.4425048,0.39573152,1.949
"178",178,"Yellowtail",0.463,0.2596,27.0800001628993,0.48,"CutiSTIpjuv LSTlarv ",0.38439525,0.41864256,2.148
"179",179,"Yellowtail",0.465,0.1367,30.1965786285784,0.48,"CutiTUMIpjuv LSTlarv ",0.32689956,0.35282624,1.956
"180",180,"Yellowtail",0.496,0.1812,29.6311075505129,0.4,"BeutiTUMIpjuv LSTlarv ",0.32613274,0.34545079,2.025
"181",181,"Yellowtail",0.461,0.164,29.2093966625008,0.56,"BeutiSTIpjuv LSTlarv ",0.4425048,0.39573152,2.133
"182",182,"Yellowtail",0.407,0.2485,27.0784769727882,0.64,"LSTpjuv oni_pre ",0.4425048,0.39573152,1.841
