"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"569",569,"Hake",3.004,0.0931,108.03543690177,0.2,"DDyolk MLDlarv SSHmss",NA,NA,8.16465205
"570",570,"Hake",2.319,0.1667,107.119383282157,0.32,"DDyolk SSHjac.pre SSHmss",NA,NA,6.79465205
"571",571,"Hake",3.488,0.1994,105.642981936926,0.36,"DDyolk MLDpjuv SSHmss",NA,NA,9.13265205
"572",572,"Hake",2.324,0.1918,106.077388274668,0.4,"DDyolk SSHmss Tpre",NA,NA,6.80465205
"573",573,"Hake",2.324,0.1918,106.077388281133,0.4,"DDpre DDyolk SSHmss",NA,NA,6.72800486
"574",574,"Hake",2.445,0.3518,103.380929232806,0.44,"DDyolk MLDlate SSHmss",NA,NA,7.04665205
"575",575,"Hake",1.979,0.3092,102.422061899761,0.64,"CSTeggs DDyolk SSHmss",NA,NA,5.99631382
"576",576,"Hake",2.285,0.3797,101.753393331231,0.44,"LSTegg MLDlarv SSHmss",NA,NA,6.62482518
"577",577,"Hake",2.267,0.2404,106.197268027408,0.4,"LSTegg SSHmss Tspawn",NA,NA,6.58882518
"578",578,"Hake",2.279,0.2239,106.558844133609,0.36,"DDspawn LSTegg SSHmss",NA,NA,6.64266668
"579",579,"Hake",2.595,0.2069,106.271103036372,0.44,"LSTegg PUTlate SSHmss",NA,NA,7.24482518
"580",580,"Hake",2.609,0.0959,108.461729636422,0.24,"LSTegg SSHjac.pre SSHmss",NA,NA,7.27282518
"581",581,"Hake",2.598,0.2121,105.230244457893,0.4,"LSTegg MLDpjuv SSHmss",NA,NA,7.25082518
"582",582,"Hake",2.599,0.1145,108.11958854186,0.16,"LSTegg SSHmss Tpre",NA,NA,7.25282518
"583",583,"Hake",2.599,0.1145,108.119588549728,0.16,"DDpre LSTegg SSHmss",NA,NA,7.27800486
"584",584,"Hake",2.374,0.264,104.850842342602,0.24,"LSTegg MLDlate SSHmss",NA,NA,6.80282518
